repo_id,name,full_name,owner_login,stars,forks,language,created_at,updated_at,url
640079149,quivr,QuivrHQ/quivr,QuivrHQ,39096,3747,Python,2023-05-12 23:53:30,2026-04-14 10:27:28,https://github.com/QuivrHQ/quivr
806709826,ChatTTS,2noise/ChatTTS,2noise,39077,4240,Python,2024-05-27 18:26:49,2026-04-14 10:54:27,https://github.com/2noise/ChatTTS
143328315,mindsdb,mindsdb/mindsdb,mindsdb,38975,6189,Python,2018-08-02 17:56:45,2026-04-14 09:50:15,https://github.com/mindsdb/mindsdb
969302809,awesome-claude-code,hesreallyhim/awesome-claude-code,hesreallyhim,38638,3161,Python,2025-04-19 20:55:59,2026-04-14 10:47:38,https://github.com/hesreallyhim/awesome-claude-code
118861276,python-cheatsheet,gto76/python-cheatsheet,gto76,38342,6716,Python,2018-01-25 04:16:53,2026-04-14 10:54:10,https://github.com/gto76/python-cheatsheet
838253246,BitNet,microsoft/BitNet,microsoft,38236,3434,Python,2024-08-05 09:07:38,2026-04-14 10:49:03,https://github.com/microsoft/BitNet
458648791,paperless-ngx,paperless-ngx/paperless-ngx,paperless-ngx,38073,2422,Python,2022-02-12 21:56:52,2026-04-14 10:04:10,https://github.com/paperless-ngx/paperless-ngx
571613891,supervision,roboflow/supervision,roboflow,38014,3355,Python,2022-11-28 14:08:44,2026-04-14 10:40:53,https://github.com/roboflow/supervision
3544424,cli,httpie/cli,httpie,37920,3895,Python,2012-02-25 12:39:13,2026-04-14 07:42:34,https://github.com/httpie/cli
621799276,Langchain-Chatchat,chatchat-space/Langchain-Chatchat,chatchat-space,37822,6193,Python,2023-03-31 12:12:45,2026-04-14 09:14:20,https://github.com/chatchat-space/Langchain-Chatchat
265122478,manim,ManimCommunity/manim,ManimCommunity,37769,2778,Python,2020-05-19 02:37:13,2026-04-14 09:22:35,https://github.com/ManimCommunity/manim
349321229,GFPGAN,TencentARC/GFPGAN,TencentARC,37422,6279,Python,2021-03-19 06:18:20,2026-04-14 08:18:23,https://github.com/TencentARC/GFPGAN
577603990,Open-Assistant,LAION-AI/Open-Assistant,LAION-AI,37418,3293,Python,2022-12-13 05:24:17,2026-04-14 08:59:08,https://github.com/LAION-AI/Open-Assistant
631567741,GPT_API_free,chatanywhere/GPT_API_free,chatanywhere,37292,2594,Python,2023-04-23 12:42:08,2026-04-14 10:27:14,https://github.com/chatanywhere/GPT_API_free
191113739,interview_internal_reference,0voice/interview_internal_reference,0voice,37212,9405,Python,2019-06-10 06:54:19,2026-04-14 09:49:08,https://github.com/0voice/interview_internal_reference
57222302,gym,openai/gym,openai,37159,8704,Python,2016-04-27 14:59:16,2026-04-14 09:13:11,https://github.com/openai/gym
4793392,sqlmap,sqlmapproject/sqlmap,sqlmapproject,37060,6239,Python,2012-06-26 09:52:15,2026-04-14 09:12:54,https://github.com/sqlmapproject/sqlmap
101684374,wtfpython,satwikkansal/wtfpython,satwikkansal,36918,2666,Python,2017-08-28 20:22:19,2026-04-14 06:46:19,https://github.com/satwikkansal/wtfpython
393571599,MockingBird,babysor/MockingBird,babysor,36903,5229,Python,2021-08-07 03:53:39,2026-04-14 09:14:01,https://github.com/babysor/MockingBird
872119017,Scrapling,D4Vinci/Scrapling,D4Vinci,36841,3159,Python,2024-10-13 20:29:53,2026-04-14 10:51:17,https://github.com/D4Vinci/Scrapling
168799526,pytorch-image-models,huggingface/pytorch-image-models,huggingface,36643,5142,Python,2019-02-02 05:51:12,2026-04-14 09:16:51,https://github.com/huggingface/pytorch-image-models
24976755,HanLP,hankcs/HanLP,hankcs,36248,10897,Python,2014-10-09 06:36:16,2026-04-14 09:03:53,https://github.com/hankcs/HanLP
